utrnNo,institutionId,reversal,initialUtrnNo,cardNumber,expireDate,transactionDate,transactionType,transactionTypeDesc,terminalType,terminalTypeDesc,posDataCode,additionalAuthInfo,issNetworkId,issNetworkDesc,merchantName,merchantAddress,merchantCity,merchantState,merchantPostalCode,merchantCountryCode,merchantCountryName,balanceCurrencyCode,balanceCurrencyName,mcc,mccDesc,cardHolderPostalCode,transactionAmount,accountAmount,accountConversionRate,account1Balance1,account1Balance2,account1,accountAmount2,currencyName,account2ConversionRate,account2,settlementAmount,conversionRateBySettleCurrency,conversionDateBySettleCurrency,rrn,responseCode,responseCodeName,responseDesc,initialChannelId,cardAcceptorId,acqFeeAmount,issFeeAmount,acqInstCurrencyCode,acqInstCurrencyName,account1CurrencyCode,account1CurrencyName,account2CurrencyCode,account2CurrencyName,transactionCurrencyName,transactionCurrencyCode,issuingAuthId,completionStatus,completionDesc,acqInstDesc,acqInstId,issInst,issInstDesc,receiveId,terminalId
25900010,1003,0,25900010,535666****1170,202702,2025-09-11T12:06:06.272Z,774,POS Purchase,2,POS,M10101705146,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Olive Branch Bistro,Market Square 85,Bristol,BST,BS8 5YW,826,GBR,0,N/A,5812,EATING PLACES,RESTAURANTS,223,109.98,0,0,0,0,Pound sterling,0,0,0,20250911,20250911 000025900010,-1,0,Approve Transaction,20002794,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,R74467,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002794,25854326,,
25900027,1003,0,25900027,548920****6466,202607,2025-10-15T11:55:18.707Z,774,POS Purchase,2,POS,M10108755146,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Riverside Dining,Market Square 66,Manchester,MAN,M2 6WS,826,GBR,0,N/A,5812,EATING PLACES,RESTAURANTS,745,118.66,0,0,0,0,Pound sterling,0,0,0,20251015,20251015 000025900027,-1,0,Approve Transaction,20002795,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,T23456,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002795,25853777,,
25900028,1002,0,25900028,535666****6627,202602,2025-10-06T11:39:57.735Z,774,POS Purchase,2,POS,M10101705146,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Manor House Restaurant,Market Square 114,Glasgow,SCT,G1 4JJ,826,GBR,0,N/A,5812,EATING PLACES,RESTAURANTS,574,77.67,0,0,0,0,Pound sterling,0,0,0,20251006,20251006 000025900028,-1,0,Approve Transaction,20002797,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,Q12567,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002797,25890234,,
25900029,1003,0,25900029,537241****2337,202908,2025-08-31T15:17:10.405Z,774,POS Purchase,2,POS,M10101511346,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Pizza Corner,King Street 162,Liverpool,MSY,L1 7QW,826,GBR,0,N/A,5814,FAST FOOD RES. (QUICK P S P),175,19.63,0,0,0,0,Pound sterling,0,0,0,20250831,20250831 000025900029,-1,0,Approve Transaction,20002794,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,Q12567,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002794,25853777,,,
25900030,1005,0,25900030,542133****7945,202807,2025-08-28T08:11:14.500Z,774,POS Purchase,2,POS,M10101705146,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Daily Essentials,Oxford Street 21,Manchester,MAN,M2 5TX,826,GBR,0,N/A,5411,Grocery stores,supermarkets,402,84.32,0,0,0,0,Pound sterling,0,0,0,20250828,20250828 000025900030,-1,0,Approve Transaction,20002793,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,T23456,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002793,25890234,,
25900031,1004,0,25900031,535666****1045,202707,2025-08-29T07:05:13.399Z,774,POS Purchase,2,POS,M10101511346,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,City Grill House,King Street 88,Birmingham,WMD,B5 5MQ,826,GBR,0,N/A,5812,EATING PLACES,RESTAURANTS,849,36.45,0,0,0,0,Pound sterling,0,0,0,20250829,20250829 000025900031,-1,0,Approve Transaction,20002794,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,P89234,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002794,25833671,,
25900032,1003,0,25900032,542133****3962,202809,2025-09-25T02:45:53.383Z,774,POS Purchase,2,POS,M10101705146,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Diamond Casino Resort,Victoria Road 213,Birmingham,WMD,B5 4KB,826,GBR,0,N/A,7995,CASINO,797,305.43,0,0,0,0,Pound sterling,0,0,0,20250925,20250925 000025900032,-1,0,Approve Transaction,20002797,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,R74467,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002797,25853777,,,
25900033,1002,0,25900033,542133****8636,202602,2025-09-03T06:25:40.049Z,774,POS Purchase,2,POS,M10102334567,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Food Mart Plus,King Street 137,London,LND,W1D 8SR,826,GBR,0,N/A,5411,Grocery stores,supermarkets,863,146.89,0,0,0,0,Pound sterling,0,0,0,20250903,20250903 000025900033,-1,0,Approve Transaction,20002793,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,P89234,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002793,25833671,,
25900034,1002,0,25900034,535666****6596,202608,2025-09-07T03:06:44.627Z,774,POS Purchase,2,POS,M10108823445,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Olive Branch Bistro,King Street 180,Birmingham,WMD,B5 8SP,826,GBR,0,N/A,5812,EATING PLACES,RESTAURANTS,364,100.84,0,0,0,0,Pound sterling,0,0,0,20250907,20250907 000025900034,-1,0,Approve Transaction,20002793,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,T23456,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002793,25854326,,
25900035,1002,0,25900035,548920****2987,202901,2025-09-05T04:53:43.675Z,774,POS Purchase,2,POS,M10102334567,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Manor House Restaurant,King Street 39,Glasgow,SCT,G1 9IR,826,GBR,0,N/A,5812,EATING PLACES,RESTAURANTS,717,18.36,0,0,0,0,Pound sterling,0,0,0,20250905,20250905 000025900035,-1,0,Approve Transaction,20002796,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,R74467,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002796,25890345,,
25900036,1002,0,25900036,537241****7327,202505,2025-09-08T12:48:17.033Z,774,POS Purchase,2,POS,M10108823445,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Diamond Casino Resort,King Street 199,Glasgow,SCT,G1 4ZQ,826,GBR,0,N/A,7995,CASINO,537,54.1,0,0,0,0,Pound sterling,0,0,0,20250908,20250908 000025900036,-1,0,Approve Transaction,20002795,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,P89234,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002795,25854326,,,
25900037,1003,0,25900037,529930****5722,202912,2025-09-02T09:10:25.583Z,774,POS Purchase,2,POS,M10108755146,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Corner Store,Queen Street 2,Birmingham,WMD,B5 4VR,826,GBR,0,N/A,5411,Grocery stores,supermarkets,150,160.42,0,0,0,0,Pound sterling,0,0,0,20250902,20250902 000025900037,-1,0,Approve Transaction,20002797,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,Q12567,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002797,25854326,,
25900038,1002,0,25900038,537241****8300,202506,2025-09-14T16:18:17.288Z,774,POS Purchase,2,POS,M10108823445,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Home Theater Shop,Park Avenue 219,Edinburgh,SCT,EH12 5SG,826,GBR,0,N/A,5732,Radio,television and stereo,704,17.64,0,0,0,0,Pound sterling,0,0,0,20250914,20250914 000025900038,-1,0,Approve Transaction,20002794,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,T23456,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002794,25833671,,
25900039,1003,0,25900039,537241****2983,202806,2025-08-12T13:31:30.419Z,774,POS Purchase,2,POS,M10108755146,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Vegas Dreams Casino,Oxford Street 214,Birmingham,WMD,B5 4FA,826,GBR,0,N/A,7995,CASINO,239,458.17,0,0,0,0,Pound sterling,0,0,0,20250812,20250812 000025900039,-1,0,Approve Transaction,20002794,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,P89234,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002794,25833671,,,
25900040,1004,0,25900040,537241****9098,202612,2025-09-15T14:34:20.895Z,774,POS Purchase,2,POS,M10108823445,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Vegas Dreams Casino,Oxford Street 17,Manchester,MAN,M2 5IR,826,GBR,0,N/A,7995,CASINO,365,469.42,0,0,0,0,Pound sterling,0,0,0,20250915,20250915 000025900040,-1,0,Approve Transaction,20002797,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,Q12567,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002797,25833671,,,
25900041,1005,0,25900041,542133****1172,202602,2025-09-23T08:06:47.998Z,774,POS Purchase,2,POS,M10102334567,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Quick Bites Express,Victoria Road 48,Cardiff,WLS,CF10 3VS,826,GBR,0,N/A,5814,FAST FOOD RES. (QUICK P S P),332,26.39,0,0,0,0,Pound sterling,0,0,0,20250923,20250923 000025900041,-1,0,Approve Transaction,20002793,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,T23456,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002793,25833671,,,
25900042,1002,0,25900042,542133****4174,202903,2025-08-25T13:59:16.052Z,774,POS Purchase,2,POS,M10102334567,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Personal Services Inc,Market Square 184,Newcastle,TWR,NE1 6FG,826,GBR,0,N/A,7299,Miscellaneous personal servi,294,174.41,0,0,0,0,Pound sterling,0,0,0,20250825,20250825 000025900042,-1,0,Approve Transaction,20002794,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,Q12567,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002794,25890345,,,
25900043,1002,0,25900043,542133****8249,202703,2025-10-11T10:26:34.698Z,774,POS Purchase,2,POS,M10108755146,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Home Theater Shop,High Street 197,Newcastle,TWR,NE1 1WD,826,GBR,0,N/A,5732,Radio,television and stereo,118,48.06,0,0,0,0,Pound sterling,0,0,0,20251011,20251011 000025900043,-1,0,Approve Transaction,20002793,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,S78945,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002793,25854326,,
25900044,1003,0,25900044,537241****7271,202604,2025-10-19T13:39:55.671Z,774,POS Purchase,2,POS,M10101705146,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Members Mart,Queen Street 19,Newcastle,TWR,NE1 2BR,826,GBR,0,N/A,5300,Wholesale Clubs,251,58.96,0,0,0,0,Pound sterling,0,0,0,20251019,20251019 000025900044,-1,0,Approve Transaction,20002795,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,T23456,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002795,25854326,,,
25900045,1003,0,25900045,535666****9007,202502,2025-09-26T08:23:30.362Z,774,POS Purchase,2,POS,M10101511346,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,The Barber Shop,High Street 49,Liverpool,MSY,L1 4TA,826,GBR,0,N/A,7230,Beauty shops $ barber shops,485,218.68,0,0,0,0,Pound sterling,0,0,0,20250926,20250926 000025900045,-1,0,Approve Transaction,20002795,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,P89234,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002795,25854326,,,
25900046,1003,0,25900046,537241****6797,202510,2025-10-25T06:11:59.892Z,774,POS Purchase,2,POS,M10101705146,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Fresh Meats Direct,High Street 117,Newcastle,TWR,NE1 8SV,826,GBR,0,N/A,5422,Freezer and locker meat prov,423,240.33,0,0,0,0,Pound sterling,0,0,0,20251025,20251025 000025900046,-1,0,Approve Transaction,20002794,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,R74467,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002794,25854326,,,
25900047,1003,0,25900047,529930****9307,202706,2025-08-14T08:05:15.036Z,774,POS Purchase,2,POS,M10108823445,Z1ZZ1ZZ1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0Z1ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ,5,MASTERCARD,Ladies Boutique,Park Avenue 204,Liverpool,MSY,L1 6XU,826,GBR,0,N/A,5621,Women`s ready-to-wear stores,557,88.19,0,0,0,0,Pound sterling,0,0,0,20250814,20250814 000025900047,-1,0,Approve Transaction,20002797,1.00E+14,0,0,826,GB,0,N/A,0,N/A,GBP,826,T23456,99,COMPLETE,GuavaPay,23407,9001,MasterCard,20002797,25833671,,,
